0,1,2,3,4,5,TOTAL,Dataset
-2.7572503,0.06782578,0.47798467,1.4164757,-2.406227,2.2040236,4.0,Chm4
-2.7606483,0.08356239,0.4850418,1.4051161,-2.3896685,2.20865,4.0,Chm4
-2.7328212,0.06257951,0.46427903,1.4158789,-2.407328,2.202699,4.0,Chm4
-2.7487435,0.06561725,0.4680018,1.4164572,-2.3983002,2.1938078,4.0,Chm4
-2.0595846,0.47651154,0.29274163,2.506009,-2.183767,2.02852,1.0,Chm5
-2.071452,0.4887959,0.31455028,2.4894078,-2.1646144,2.031551,1.0,Chm5
-2.151665,0.54233503,0.4096403,2.513174,-2.243791,2.1619892,1.0,Chm5
-2.2187216,0.5565025,0.4921673,2.4962964,-2.345704,2.2900527,1.0,Chm5
-2.2293608,0.5686057,0.5060675,2.487512,-2.337849,2.2967238,1.0,Chm5
-2.029807,0.4398066,0.2640166,2.527679,-2.1882298,1.9976557,1.0,Chm5
-2.1581414,0.5301005,0.3903211,2.485271,-2.2518258,2.1589537,1.0,Chm5
-2.1636574,0.54131097,0.39167932,2.4632218,-2.255777,2.1791732,1.0,Chm5
-2.1212456,0.5285067,0.36445755,2.4619915,-2.223836,2.1412606,1.0,Chm5
-2.0963337,0.5092077,0.36636335,2.4913058,-2.2383485,2.1437259,1.0,Chm5
-2.1429582,0.5363986,0.38663456,2.4687376,-2.239475,2.1641355,1.0,Chm5
-1.5053039,1.0007988,0.09192214,2.8711252,-1.8966249,2.2665331,1.0,Chm6
-1.3924891,1.002144,-0.012549323,2.9642093,-1.787424,2.1624525,1.0,Chm6
-1.3704678,0.9894985,-0.059265953,2.9431443,-1.8347086,2.1896448,1.0,Chm6
-1.4729717,0.9976092,0.08635461,2.8929937,-1.8747293,2.2509775,1.0,Chm6
-1.6821371,1.015784,0.28069088,2.9200306,-1.9677382,2.3154829,1.0,Chm6
-1.500905,1.0054595,0.10338353,2.8907757,-1.9017153,2.276915,1.0,Chm6
-1.625092,1.0068374,0.23631357,2.8882844,-1.946879,2.3119845,1.0,Chm6
-1.6137116,1.0043864,0.23227204,2.8861713,-1.9443741,2.3174167,1.0,Chm6
-1.5298407,1.0034581,0.11176015,2.8985577,-1.8877945,2.2490113,1.0,Chm6
-1.5617993,1.0314008,0.16238846,2.8318741,-1.8649743,2.2748208,1.0,Chm6
-2.534304,0.4547063,0.63029295,2.3365414,-2.4543138,2.322885,1.0,Chm7
-2.565424,0.488736,0.65521127,2.304963,-2.426566,2.3372476,1.0,Chm7
-2.5306203,0.5083901,0.6752152,2.3448849,-2.4114218,2.3367178,1.0,Chm7
-2.5304935,0.47524744,0.66903627,2.2856429,-2.397557,2.3198178,1.0,Chm7
-2.5884895,0.5209849,0.72187114,2.2745984,-2.3643427,2.3284945,1.0,Chm7
-2.5812917,0.5031494,0.7078252,2.2935047,-2.3925307,2.3336287,1.0,Chm7
-2.5677886,0.4939258,0.68253,2.2788332,-2.3762546,2.3083386,1.0,Chm7
-2.4996977,0.44562402,0.64343286,2.264231,-2.422674,2.3254054,1.0,Chm7
-2.5251303,0.45612106,0.60592765,2.2941103,-2.3273437,2.1960495,1.0,Chm7
-2.551266,0.7617901,0.85746384,2.8003879,-2.2106993,2.1801007,0.0,Chm8
-2.5551226,0.755173,0.8380835,2.754091,-2.2087035,2.1837552,0.0,Chm8
-2.5574417,0.7719311,0.8577204,2.7714171,-2.194353,2.1850584,0.0,Chm8
-2.5503967,0.7755658,0.8777971,2.7679186,-2.1925662,2.2010193,0.0,Chm8
-2.556749,0.78245956,0.8606598,2.7736034,-2.200001,2.1984837,0.0,Chm8
-2.5767617,0.828272,0.92053246,2.7940881,-2.1831837,2.2417827,0.0,Chm8
-2.5345702,0.7390062,0.8165753,2.784945,-2.2109048,2.1568553,0.0,Chm8
-2.5389516,0.75777423,0.83664817,2.7835946,-2.192668,2.1591308,0.0,Chm8
-2.5446856,0.75435907,0.8394647,2.7996,-2.210467,2.1677947,0.0,Chm8
-2.5593755,0.7634118,0.85767233,2.7847433,-2.214685,2.1921718,0.0,Chm8
-2.5442646,0.75548494,0.86450386,2.7694576,-2.1864645,2.1721883,0.0,Chm8
-2.5615897,0.7542457,0.87251955,2.7445798,-2.1775775,2.168171,0.0,Chm8
-2.1074615,0.6048499,0.4065917,2.6007762,-2.2992022,2.2515247,1.0,Chm9
-2.1450171,0.64475816,0.46328485,2.5423367,-2.2468598,2.2621076,1.0,Chm9
-2.1103983,0.6143003,0.3731779,2.5292053,-2.244239,2.215825,1.0,Chm9
-2.003366,0.5634947,0.3093535,2.564342,-2.1585753,2.0927627,1.0,Chm9
-2.0842547,0.58439904,0.35089296,2.5706837,-2.281871,2.218216,1.0,Chm9
-2.1505694,0.6418957,0.4563533,2.5310848,-2.2583768,2.2735999,1.0,Chm9
-2.106968,0.60690796,0.38958183,2.5776978,-2.3189,2.2801232,1.0,Chm9
-2.161276,0.6359893,0.44708315,2.5760434,-2.3088772,2.2901926,1.0,Chm9
-2.1718564,0.6388888,0.4690891,2.5649204,-2.28826,2.2794137,1.0,Chm9
