,n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
110,4.0,0.1,0.0,1.0,Glucose_a,0.0,0.0
111,4.0,0.1,0.0,1.0,Ketones_a,0.0,0.0
112,4.0,0.1,0.0,0.9901442307692306,Nitrite_a,0.0,0.0004856809356508874
113,4.0,0.1,0.0,1.0,Urobilinogen_a,0.0,0.0
114,4.0,0.2,0.011764705882352941,0.9876358646360186,Protein_a,0.0006920415224913495,7.602223185711995e-05
115,4.0,0.2,0.0,0.0,Bilirubin_a,0.0,0.0
116,4.0,0.2,0.0,1.0,Glucose_a,0.0,0.0
117,4.0,0.2,0.0,1.0,Ketones_a,0.0,0.0
118,4.0,0.2,0.0,1.0,Nitrite_a,0.0,0.0
119,4.0,0.2,0.0,1.0,Urobilinogen_a,0.0,0.0
120,4.0,0.3,0.0,0.9980343980343982,Protein_a,0.0,1.9317955435891436e-05
121,4.0,0.3,0.0,0.0,Bilirubin_a,0.0,0.0
122,4.0,0.3,0.0,1.0,Glucose_a,0.0,0.0
123,4.0,0.3,0.0,1.0,Ketones_a,0.0,0.0
124,4.0,0.3,0.0,1.0,Nitrite_a,0.0,0.0
125,4.0,0.3,0.0,1.0,Urobilinogen_a,0.0,0.0
126,4.0,0.4,0.0,0.9938038874080981,Protein_a,0.0,8.767321490092915e-05
127,4.0,0.4,0.0,0.0,Bilirubin_a,0.0,0.0
128,4.0,0.4,0.0,1.0,Glucose_a,0.0,0.0
129,4.0,0.4,0.0,1.0,Ketones_a,0.0,0.0
130,4.0,0.4,0.0,1.0,Nitrite_a,0.0,0.0
131,4.0,0.4,0.0,1.0,Urobilinogen_a,0.0,0.0
132,4.0,0.5,0.0,0.9972939729397293,Protein_a,0.0,3.661291225458401e-05
133,4.0,0.5,0.0,0.0,Bilirubin_a,0.0,0.0
134,4.0,0.5,0.0,1.0,Glucose_a,0.0,0.0
135,4.0,0.5,0.0,1.0,Ketones_a,0.0,0.0
136,4.0,0.5,0.0,1.0,Nitrite_a,0.0,0.0
137,4.0,0.5,0.0,1.0,Urobilinogen_a,0.0,0.0
138,4.0,0.6,0.0,0.9980173482032217,Protein_a,0.0,1.965454073633892e-05
139,4.0,0.6,0.0,0.0,Bilirubin_a,0.0,0.0
140,4.0,0.6,0.0,1.0,Glucose_a,0.0,0.0
141,4.0,0.6,0.0,1.0,Ketones_a,0.0,0.0
142,4.0,0.6,0.0,1.0,Nitrite_a,0.0,0.0
143,4.0,0.6,0.0,1.0,Urobilinogen_a,0.0,0.0
144,4.0,0.7,0.0,1.0,Protein_a,0.0,0.0
145,4.0,0.7,0.0,0.0,Bilirubin_a,0.0,0.0
146,4.0,0.7,0.0,1.0,Glucose_a,0.0,0.0
147,4.0,0.7,0.0,1.0,Ketones_a,0.0,0.0
148,4.0,0.7,0.0,1.0,Nitrite_a,0.0,0.0
149,4.0,0.7,0.0,1.0,Urobilinogen_a,0.0,0.0
150,4.0,0.8,0.0,0.9997521685254027,Protein_a,0.0,3.071021990053163e-07
151,4.0,0.8,0.0,0.0,Bilirubin_a,0.0,0.0
152,4.0,0.8,0.0,1.0,Glucose_a,0.0,0.0
153,4.0,0.8,0.0,1.0,Ketones_a,0.0,0.0
154,4.0,0.8,0.0,1.0,Nitrite_a,0.0,0.0
155,4.0,0.8,0.0,1.0,Urobilinogen_a,0.0,0.0
156,4.0,0.9,0.0,1.0,Protein_a,0.0,0.0
157,4.0,0.9,0.0,0.0,Bilirubin_a,0.0,0.0
158,4.0,0.9,0.0,1.0,Glucose_a,0.0,0.0
159,4.0,0.9,0.0,1.0,Ketones_a,0.0,0.0
160,4.0,0.9,0.0,1.0,Nitrite_a,0.0,0.0
161,4.0,0.9,0.0,1.0,Urobilinogen_a,0.0,0.0
162,5.0,0.1,0.14182897239163222,0.9787130824240226,Protein_a,0.033150734487508236,0.0004245023143251769
163,5.0,0.1,0.0,0.0,Bilirubin_a,0.0,0.0
164,5.0,0.1,0.0,1.0,Glucose_a,0.0,0.0
165,5.0,0.1,0.0,1.0,Ketones_a,0.0,0.0
166,5.0,0.1,0.0,0.9876892975761242,Nitrite_a,0.0,7.254208469223228e-05
167,5.0,0.1,0.0,1.0,Urobilinogen_a,0.0,0.0
168,5.0,0.2,0.0,0.9950462857879012,Protein_a,0.0,4.6013539935516634e-05
169,5.0,0.2,0.0,0.0,Bilirubin_a,0.0,0.0
170,5.0,0.2,0.0,1.0,Glucose_a,0.0,0.0
171,5.0,0.2,0.0,1.0,Ketones_a,0.0,0.0
172,5.0,0.2,0.0,0.996356216938222,Nitrite_a,0.0,2.9609603611892976e-05
