,n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
1471,26.0,0.16,0.17917342854051715,0.9999396863691195,pH_a,0.0041324119194200825,1.818867034998868e-08
1472,26.0,0.17,0.8265873637079828,0.6347140492393344,Density_a,5.625157057684917e-05,0.00011436545990443603
1473,26.0,0.17,0.18553784656382924,0.9998789894271795,pH_a,0.0035360115059463416,2.745672393178861e-08
1474,26.0,0.18,0.803374160312577,0.6624998233774533,Density_a,6.904914429215187e-06,0.00016846247936707856
1475,26.0,0.18,0.18209891374448334,1.0,pH_a,0.0031012674393048226,0.0
1476,26.0,0.19,0.8209806846443574,0.684356858598905,Density_a,0.0004258911630461691,0.00013139991102840504
1477,26.0,0.19,0.18286270691333983,0.9999395039322444,pH_a,0.0037944106969657596,1.829887106945067e-08
1478,26.0,0.2,0.7972462438043229,0.6729376982949095,Density_a,0.0002347940558185381,0.0004968304385825818
1479,26.0,0.2,0.15132911392405063,1.0,pH_a,0.008626041499759653,0.0
1480,26.0,0.21000000000000002,0.790468766510245,0.7099569214393255,Density_a,0.00036063559472079024,0.00026754662661033335
1481,26.0,0.21000000000000002,0.1814889788573999,1.0,pH_a,0.00373412068933768,0.0
1482,26.0,0.22000000000000003,0.7862760820435332,0.6957749727928679,Density_a,0.00046529675751260285,0.00010649143004472954
1483,26.0,0.22000000000000003,0.18008519961051608,0.9999395587790874,pH_a,0.0036160870766329552,1.826570592706841e-08
1484,26.0,0.23000000000000004,0.7688055297642897,0.7253885277652938,Density_a,0.000436094525926049,0.00024221116380392853
1485,26.0,0.23000000000000004,0.11396462187601428,1.0,pH_a,0.00033446420570802757,0.0
1486,26.0,0.24,0.7769617656617408,0.7398782570057117,Density_a,0.00040518485688510275,0.0005877079958018808
1487,26.0,0.24,0.1491277182732879,1.0,pH_a,0.0035251386091961906,0.0
1488,26.0,0.25,0.7613811151279686,0.7431711152294939,Density_a,0.00033187804288492654,0.00020670903703874928
1489,26.0,0.25,0.08910256410256409,1.0,pH_a,0.007829963839579224,0.0
1490,26.0,0.26,0.7643187648196538,0.7510704916492007,Density_a,0.0001492061918096021,0.00022583787258899235
1491,26.0,0.26,0.12722455814227968,1.0,pH_a,0.005996589839914192,0.0
1492,26.0,0.27,0.7343397773776938,0.7566430590055568,Density_a,0.00015572816704160786,0.0006087663040647118
1493,26.0,0.27,0.13197184782794374,1.0,pH_a,0.0034611308628804535,0.0
1494,26.0,0.28,0.7176238093172461,0.7694794275435797,Density_a,0.00021171281123261238,0.00014014454676485817
1495,26.0,0.28,0.12724850099933377,1.0,pH_a,0.007815367702899378,0.0
1496,26.0,0.29,0.7354844631896115,0.7798187081969216,Density_a,6.566489789608588e-05,0.00027959508025148297
1497,26.0,0.29,0.0989678675754625,1.0,pH_a,2.7411675310803892e-05,0.0
1498,26.0,0.3,0.7124465265979631,0.7849805828491562,Density_a,0.00016306207514391638,0.0005519370158121631
1499,26.0,0.3,0.14909607270366762,1.0,pH_a,0.004371995726443054,0.0
1500,27.0,0.01,0.9976505944487257,0.04095386166963123,Density_a,2.059491413614869e-06,0.00026206077926583247
1501,27.0,0.01,0.9554305676557509,0.7128028644496082,pH_a,0.0024890341737874295,0.00038923058741367387
1502,27.0,0.02,0.9831415249285994,0.117264415930046,Density_a,4.48664915731616e-05,0.0007575565899614708
1503,27.0,0.02,0.6759818240830898,0.9530851295828395,pH_a,0.02449109360477115,0.00010431262849208247
1504,27.0,0.03,0.9698714873450609,0.18772798727651324,Density_a,5.3434363099114507e-05,0.0007162859362110453
1505,27.0,0.03,0.41002037736159436,0.9823401607025837,pH_a,0.00589984978979436,3.048398805336449e-05
1506,27.0,0.04,0.9516028970134318,0.2835106534198967,Density_a,5.872593462220704e-06,0.00020739565456115002
1507,27.0,0.04,0.2965968240229844,0.991594978219732,pH_a,0.011331250176301327,8.916731227859168e-06
