n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
4.0,0.14,0.0,1.0,pH_a,0.0,0.0
4.0,0.15,0.7495115754251412,0.5759321617520933,Density_a,0.0002983645871010535,0.0012649793774600325
4.0,0.15,0.0,1.0,pH_a,0.0,0.0
4.0,0.16,0.8051564763665858,0.5189291205490647,Density_a,0.004215114941301078,0.0029585025118041715
4.0,0.16,0.0,1.0,pH_a,0.0,0.0
4.0,0.17,0.7566676613013789,0.5758173389617903,Density_a,0.007883136359496341,0.004286403873092547
4.0,0.17,0.0,1.0,pH_a,0.0,0.0
4.0,0.18,0.6960825676297139,0.6332652088579263,Density_a,0.0041341302666443045,0.008739669777942598
4.0,0.18,0.0,1.0,pH_a,0.0,0.0
4.0,0.19,0.7209829754234651,0.6051206408278045,Density_a,0.01725618884053508,0.0028665608805323807
4.0,0.19,0.0,1.0,pH_a,0.0,0.0
4.0,0.2,0.6812138474666283,0.6666497678096547,Density_a,0.010365914520533434,0.0014806687488442044
4.0,0.2,0.0,1.0,pH_a,0.0,0.0
4.0,0.21,0.7189551820839694,0.6480811971831593,Density_a,0.002777734583089857,0.007513744533495893
4.0,0.21,0.0,1.0,pH_a,0.0,0.0
4.0,0.22000000000000006,0.7037972396532388,0.618882707138078,Density_a,0.0018529495738821829,0.004412046498065485
4.0,0.22000000000000006,0.0,1.0,pH_a,0.0,0.0
4.0,0.23000000000000004,0.7098364770170467,0.6634270599070435,Density_a,0.011252476531275405,0.002029901606087886
4.0,0.23000000000000004,0.0,1.0,pH_a,0.0,0.0
4.0,0.24,0.7093300823283698,0.6757477506836811,Density_a,0.014650783539186698,0.004398017324685193
4.0,0.24,0.0,1.0,pH_a,0.0,0.0
4.0,0.25,0.624004778975958,0.7526753856009705,Density_a,0.01085628532944281,0.007678361132290743
4.0,0.25,0.0,1.0,pH_a,0.0,0.0
4.0,0.26,0.6779981822160444,0.6810138761872582,Density_a,0.0045922812406287246,0.008831365880101083
4.0,0.26,0.0,1.0,pH_a,0.0,0.0
4.0,0.27,0.708371666588859,0.7108313817330212,Density_a,0.014067476877255734,0.0019357778384129789
4.0,0.27,0.0,1.0,pH_a,0.0,0.0
